"﻿""SYMBOL",COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,"ATTACHMENT"""
INDORAMA,Indo Rama Synthetics (India) Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,INDO RAMA SYNTHETICS (INDIA) LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,07-Nov-2023 23:53:03,2023-11-07 23:53:03,07-Nov-2023 23:53:11,00:00:08,https://nsearchives.nseindia.com/corporate/xbrl/INDORAMA_07112023235303_CIM_14211_979836_07112023115302_WEB.xml
ALKEM,Alkem Laboratories Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Alkem Laboratories Limited has informed the Exchange about Link of Recording,07-Nov-2023 23:49:32,2023-11-07 23:49:32,07-Nov-2023 23:49:38,00:00:06,https://nsearchives.nseindia.com/corporate/ALKEM_07112023234932_AlkemEarningsConferenceCallAudioRecordingNov23signed.pdf
RANEHOLDIN,Rane Holdings Limited,Updates,"Rane Holdings Limited has informed the Exchange regarding 'intimating an earning conference call on November 10, 2023 at 14:00 hrs with an updated invite.'.",07-Nov-2023 23:46:16,2023-11-07 23:46:16,07-Nov-2023 23:46:22,00:00:06,https://nsearchives.nseindia.com/corporate/RANEHOLDIN_07112023234616_RHL_SE_Earningscall_Updated.pdf
HINDALCO,Hindalco Industries Limited,Investor Presentation,Hindalco Industries Limited has informed the Exchange about Investor Presentation,07-Nov-2023 23:37:32,2023-11-07 23:37:32,07-Nov-2023 23:37:40,00:00:08,https://nsearchives.nseindia.com/corporate/HINDALCO_07112023233732_NovelisQ2FY24_Reg30Intimation_Signed.pdf
HINDALCO,Hindalco Industries Limited,Press Release,"Hindalco Industries Limited has informed the Exchange regarding a press release dated November 07, 2023, titled Novelis Reports Second Quarter Fiscal Year 2024 Results.",07-Nov-2023 23:35:08,2023-11-07 23:35:08,07-Nov-2023 23:35:14,00:00:06,https://nsearchives.nseindia.com/corporate/HINDALCO_07112023233509_NovelisQ2FY24_Reg30Intimation_Signed.pdf
RCOM,Reliance Communications Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,RELIANCE COMMUNICATIONS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,07-Nov-2023 23:34:16,2023-11-07 23:34:16,07-Nov-2023 23:34:20,00:00:04,https://nsearchives.nseindia.com/corporate/xbrl/RCOM_07112023233416_CIM_14210_979829_07112023113415_WEB.xml
RCOM,Reliance Communications Limited,Resignation,"Reliance Communications Limited has informed the Exchange regarding Resignation of Mr Viswanath Devaraja Rao as Executive Director  and Chief Financial Officer of the company w.e.f. November 01, 2023.",07-Nov-2023 23:24:37,2023-11-07 23:24:37,07-Nov-2023 23:24:42,00:00:05,https://nsearchives.nseindia.com/corporate/RCOM_07112023232437_RCOMReg30ResignationofCFOup.pdf
DIGISPICE,DiGiSPICE Technologies Limited,Updates,"DiGiSPICE Technologies Limited has informed the Exchange regarding 'Change in Registered Office of the Company w.e.f. 8th November, 2023'.",07-Nov-2023 23:20:04,2023-11-07 23:20:04,07-Nov-2023 23:20:12,00:00:08,https://nsearchives.nseindia.com/corporate/DIGISPICE_07112023232004_OutcomeBM07112023s.pdf
DIGISPICE,DiGiSPICE Technologies Limited,Financial Result Updates,"DiGiSPICE Technologies Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",07-Nov-2023 23:17:04,2023-11-07 23:17:04,07-Nov-2023 23:17:11,00:00:07,https://nsearchives.nseindia.com/corporate/OutcomeBM07112023s_07112023231704.pdf
VARROC,Varroc Engineering Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Varroc Engineering Limited has informed the Exchange about Link of Recording,07-Nov-2023 23:06:32,2023-11-07 23:06:32,07-Nov-2023 23:06:37,00:00:05,https://nsearchives.nseindia.com/corporate/VARROC_07112023230632_Investor_Call_Recording_And_Link_07112023_07112023230632.zip
FEDERALBNK,The Federal Bank  Limited,Analysts/Institutional Investor Meet/Con. Call Updates,The Federal Bank  Limited has informed the Exchange about outcome of investor meet,07-Nov-2023 22:54:52,2023-11-07 22:54:52,07-Nov-2023 22:54:58,00:00:06,https://nsearchives.nseindia.com/corporate/FEDERALBNK_07112023225452_SignedInvestorMeeting07112023.pdf
RADIANTCMS,Radiant Cash Management Services Limited,Investor Presentation,Radiant Cash Management Services Limited has informed the Exchange about Investor Presentation,07-Nov-2023 22:54:08,2023-11-07 22:54:08,07-Nov-2023 22:54:15,00:00:07,https://nsearchives.nseindia.com/corporate/RADIANTCMS_07112023225408_RADIANTCMSInvestorPresentationSD.pdf
AUBANK,AU Small Finance Bank Limited,Analysts/Institutional Investor Meet/Con. Call Updates,AU Small Finance Bank Limited has informed the Exchange about List of participants,07-Nov-2023 22:50:27,2023-11-07 22:50:27,07-Nov-2023 22:50:34,00:00:07,https://nsearchives.nseindia.com/corporate/AUBANK_07112023225027_Investor_Meeting_Outcome.pdf
JYOTISTRUC,Jyoti Structures Limited,Related Party Transactions,Jyoti Structures Limited has informed the Exchange about related Party Transactions,07-Nov-2023 22:39:06,2023-11-07 22:39:06,07-Nov-2023 22:39:10,00:00:04,https://nsearchives.nseindia.com/corporate/JYOTISTRUC_07112023223906_RPTFINAL.pdf
JYOTISTRUC,Jyoti Structures Limited,Financial Result Updates,"Jyoti Structures Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",07-Nov-2023 22:37:55,2023-11-07 22:37:55,07-Nov-2023 22:37:58,00:00:03,https://nsearchives.nseindia.com/corporate/FINALCONSO_07112023223755.pdf
JYOTISTRUC,Jyoti Structures Limited,Financial Result Updates,"Jyoti Structures Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",07-Nov-2023 22:37:03,2023-11-07 22:37:03,07-Nov-2023 22:37:06,00:00:03,https://nsearchives.nseindia.com/corporate/FINALSTAND_07112023223703.pdf
JYOTISTRUC,Jyoti Structures Limited,Outcome of Board Meeting,"Jyoti Structures Limited has informed the Exchange regarding  Board meeting held on November 07, 2023.",07-Nov-2023 22:36:11,2023-11-07 22:36:11,07-Nov-2023 22:36:20,00:00:09,https://nsearchives.nseindia.com/corporate/JYOTISTRUC_07112023223611_FINALOUTCOME.pdf
CUMMINSIND,Cummins India Limited,Updates,"Cummins India Limited has informed the Exchange regarding 'schedule of Plant visit under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.'.",07-Nov-2023 22:35:50,2023-11-07 22:35:50,07-Nov-2023 22:35:57,00:00:07,https://nsearchives.nseindia.com/corporate/CUMMINSIND_07112023223550_SEIntimationAnalystSigned.pdf
AUBANK,AU Small Finance Bank Limited,Credit Rating,AU Small Finance Bank Limited has informed the Exchange about Credit Rating,07-Nov-2023 22:35:26,2023-11-07 22:35:26,07-Nov-2023 22:35:31,00:00:05,https://nsearchives.nseindia.com/corporate/AUBANK_07112023223526_Credit_Rating_Intimation.pdf
GREAVESCOT,Greaves Cotton Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Greaves Cotton Limited has informed the Exchange about Presentation,07-Nov-2023 22:29:19,2023-11-07 22:29:19,07-Nov-2023 22:29:26,00:00:07,https://nsearchives.nseindia.com/corporate/GREAVESCOT_07112023222919_GCL_InvestorPresentation_07112023.pdf
Hindalco Industries Limited,Investor Presentation,Hindalco Industries Limited has informed the Exchange about Investor Presentation,07-Nov-2023 23:37:32,2023-11-07 23:37:32,07-Nov-2023 23:37:40,00:00:08,https://nsearchives.nseindia.com/corporate/HINDALCO_07112023233732_NovelisQ2FY24_Reg30Intimation_Signed.pdf,
Hindalco Industries Limited,Press Release,"Hindalco Industries Limited has informed the Exchange regarding a press release dated November 07, 2023, titled Novelis Reports Second Quarter Fiscal Year 2024 Results.",07-Nov-2023 23:35:08,2023-11-07 23:35:08,07-Nov-2023 23:35:14,00:00:06,https://nsearchives.nseindia.com/corporate/HINDALCO_07112023233509_NovelisQ2FY24_Reg30Intimation_Signed.pdf,
Reliance Communications Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,RELIANCE COMMUNICATIONS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,07-Nov-2023 23:34:16,2023-11-07 23:34:16,07-Nov-2023 23:34:20,00:00:04,https://nsearchives.nseindia.com/corporate/xbrl/RCOM_07112023233416_CIM_14210_979829_07112023113415_WEB.xml,
Reliance Communications Limited,Resignation,"Reliance Communications Limited has informed the Exchange regarding Resignation of Mr Viswanath Devaraja Rao as Executive Director  and Chief Financial Officer of the company w.e.f. November 01, 2023.",07-Nov-2023 23:24:37,2023-11-07 23:24:37,07-Nov-2023 23:24:42,00:00:05,https://nsearchives.nseindia.com/corporate/RCOM_07112023232437_RCOMReg30ResignationofCFOup.pdf,
DiGiSPICE Technologies Limited,Updates,"DiGiSPICE Technologies Limited has informed the Exchange regarding 'Change in Registered Office of the Company w.e.f. 8th November, 2023'.",07-Nov-2023 23:20:04,2023-11-07 23:20:04,07-Nov-2023 23:20:12,00:00:08,https://nsearchives.nseindia.com/corporate/DIGISPICE_07112023232004_OutcomeBM07112023s.pdf,
DiGiSPICE Technologies Limited,Financial Result Updates,"DiGiSPICE Technologies Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",07-Nov-2023 23:17:04,2023-11-07 23:17:04,07-Nov-2023 23:17:11,00:00:07,https://nsearchives.nseindia.com/corporate/OutcomeBM07112023s_07112023231704.pdf,
Varroc Engineering Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Varroc Engineering Limited has informed the Exchange about Link of Recording,07-Nov-2023 23:06:32,2023-11-07 23:06:32,07-Nov-2023 23:06:37,00:00:05,https://nsearchives.nseindia.com/corporate/VARROC_07112023230632_Investor_Call_Recording_And_Link_07112023_07112023230632.zip,
The Federal Bank  Limited,Analysts/Institutional Investor Meet/Con. Call Updates,The Federal Bank  Limited has informed the Exchange about outcome of investor meet,07-Nov-2023 22:54:52,2023-11-07 22:54:52,07-Nov-2023 22:54:58,00:00:06,https://nsearchives.nseindia.com/corporate/FEDERALBNK_07112023225452_SignedInvestorMeeting07112023.pdf,
Radiant Cash Management Services Limited,Investor Presentation,Radiant Cash Management Services Limited has informed the Exchange about Investor Presentation,07-Nov-2023 22:54:08,2023-11-07 22:54:08,07-Nov-2023 22:54:15,00:00:07,https://nsearchives.nseindia.com/corporate/RADIANTCMS_07112023225408_RADIANTCMSInvestorPresentationSD.pdf,
AU Small Finance Bank Limited,Analysts/Institutional Investor Meet/Con. Call Updates,AU Small Finance Bank Limited has informed the Exchange about List of participants,07-Nov-2023 22:50:27,2023-11-07 22:50:27,07-Nov-2023 22:50:34,00:00:07,https://nsearchives.nseindia.com/corporate/AUBANK_07112023225027_Investor_Meeting_Outcome.pdf,
Jyoti Structures Limited,Related Party Transactions,Jyoti Structures Limited has informed the Exchange about related Party Transactions,07-Nov-2023 22:39:06,2023-11-07 22:39:06,07-Nov-2023 22:39:10,00:00:04,https://nsearchives.nseindia.com/corporate/JYOTISTRUC_07112023223906_RPTFINAL.pdf,
