"﻿""SYMBOL",COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,"ATTACHMENT""",<!DOCTYPE html>
QUICKTOUCH,Quicktouch Technologies Limited,Acquisition-XBRL,Quicktouch Technologies Limited has informed the Exchange regarding Acquisition,05-Jan-2024 22:22:58,2024-01-05 22:22:58,05-Jan-2024 22:23:03,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/QUICKTOUCH_05012024222258_REG30_Restructuring_1009102_05012024102257_WEB.xml,
QUICKTOUCH,Quicktouch Technologies Limited,Acquisition,Quicktouch Technologies Limited has informed the Exchange about Acquisition,05-Jan-2024 22:17:30,2024-01-05 22:17:30,05-Jan-2024 22:17:33,00:00:03,https://nsearchives.nseindia.com/corporate/QUICKTOUCH_05012024221730_Resultsforthedecemberended.pdf,
QUICKTOUCH,Quicktouch Technologies Limited,Acquisition,Quicktouch Technologies Limited has informed the Exchange about Acquisition,05-Jan-2024 21:18:52,2024-01-05 21:18:52,05-Jan-2024 21:18:58,00:00:06,https://nsearchives.nseindia.com/corporate/QUICKTOUCH_05012024211852_Acqusitiondisclosure.pdf,
QUICKTOUCH,Quicktouch Technologies Limited,Updates,"Quicktouch Technologies Limited has informed the Exchange regarding 'Audited Results Standalone and Consolidated for the nine months ended December 31, 2023'.",05-Jan-2024 21:15:32,2024-01-05 21:15:32,05-Jan-2024 21:15:36,00:00:04,https://nsearchives.nseindia.com/corporate/QUICKTOUCH_05012024211532_Resultsforthedecemberended.pdf,
FELIX,Felix Industries Limited,Shareholders meeting,"Felix Industries Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on January 27, 2024",05-Jan-2024 20:29:32,2024-01-05 20:29:32,05-Jan-2024 20:29:37,00:00:05,https://nsearchives.nseindia.com/corporate/FELIX_05012024202932_Coveringalongwithnotice.pdf,
OMFURN,Omfurn India Limited,Updates,"Omfurn India Limited has informed the Exchange regarding 'Certificate as per Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended on 31st December, 2023.'.",05-Jan-2024 20:07:10,2024-01-05 20:07:10,05-Jan-2024 20:07:14,00:00:04,https://nsearchives.nseindia.com/corporate/OMFURN_05012024200710_NSE74531122023.pdf,
PRECISION,Precision Metaliks Limited,Price movement,"Significant movement in price has been observed in Precision Metaliks Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, has written to the company. The response from the company is awaited.",05-Jan-2024 20:03:46,2024-01-05 20:03:46,05-Jan-2024 20:03:52,"00:00:06,",,
BASILIC,Basilic Fly Studio Limited,Price movement,"Significant movement in price has been observed in Basilic Fly Studio Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, had written to the company. Basilic Fly Studio Limited has submitted their response.",05-Jan-2024 20:03:25,2024-01-05 20:03:25,05-Jan-2024 20:03:30,00:00:05,https://nsearchives.nseindia.com/corporate/BASILIC_05012024200325_replysigned.pdf,
FELIX,Felix Industries Limited,Outcome of Board Meeting,"Felix Industries Limited has informed the Exchange regarding  revised outcome of Board meeting held on January 02, 2024.",05-Jan-2024 19:06:47,2024-01-05 19:06:47,05-Jan-2024 19:06:50,00:00:03,https://nsearchives.nseindia.com/corporate/FELIX_05012024190647_RevisedOutcomesigned.pdf,
YUDIZ,Yudiz Solutions Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Yudiz Solutions Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",05-Jan-2024 18:55:05,2024-01-05 18:55:05,05-Jan-2024 18:55:10,00:00:05,https://nsearchives.nseindia.com/corporate/YUDIZ_05012024185505_IntimationunderRegulation74531122023.pdf,
VMARCIND,V Marc India Limited,Updates,V Marc India Limited has informed the Exchange regarding 'Purchase Order from Dakshni Haryana Bijli Vitran Nigam Limited (DHBVN) '.,05-Jan-2024 18:37:18,2024-01-05 18:37:18,05-Jan-2024 18:37:24,00:00:06,https://nsearchives.nseindia.com/corporate/VMARCIND_05012024183718_VIL.pdf,
